Rank,Wallet,Trades,Tokens,Volume,Rapid_Reversals
31,jewY1ZEqT7wEyUDMFJ6mFW52soaX1i9zr4wLpqUvaMz,346,89,44580.46,345
32,DEVA1RTJX6mAXLy9HikaDG3SPRu8mrjXnkedoivGQMvZ,187,27,44437.27,133
33,5TcyQLh8ojBf81DKeRC4vocTbNKJpJCsR9Kei16kLqDM,162,64,44060.07,11
34,5FqUo9aBjsp7QeeyN6Vi2ZmF2fjS4H5EU7wnAQwPy17z,134,81,44002.02,0
35,C7yUFMdiV2tucSc9FXurvuvBCFek195oA8hgfn9AS3CF,173,47,43976.19,63
36,HqBLXnqnDY1xrGnMsa3rRfw4C6qoQYiCsbQCap5LUyGQ,293,69,43524.70,380
37,5B79fMkcFeRTiwm7ehsZsFiKsC7m7n1Bgv9yLxPp9q2X,228,31,42571.77,233
38,G7NvZKjoVqBDWciSYtWWgUPB7DA1iJavdvH5jty2FAmM,173,103,42188.56,61
39,DdZG8dw12CsHjj2Ytfo1vKNPPoU4DEYSMSxdhPjo5U6N,117,114,42118.64,3
40,3rcUJ1ydrfXYDZWTu3GfVRRg3WE34CwFywRkeU6qZGyg,248,72,42045.28,246
41,98T65wcMEjoNLDTJszBHGZEX75QRe8QaANXokv4yw3Mp,150,35,40418.88,124
42,9fpUmh3Tv3UCdeHLyq3o4QhkTBu5XAbEiKP9FtGaSndb,110,35,39760.25,94
43,C6RY5sbvmTFBZXYe6YLrpGjUAFSQwyRmKawLZk9ucrSS,256,31,39308.67,489
44,AQ46kfYT3hW28Xg5gWHrJkzFSz1oGWBHC3FsTbqgMEco,238,65,38393.83,203
45,8NVkytV1CtoNBXGFtwXwh4KQdbgVcA6hFmym1gMuRHru,139,26,38128.15,56
46,4idPDNg7qzUqWgrkVvaM9StXaQCcMTes1XSPYGH5qtu6,293,49,37806.41,443
47,9Huizoqi35PVAe3EqeUQ7YabPUgM1NANcFbWvHhm9isK,293,49,37486.99,443
48,CPrMbU3PwEbLRuvnb4uFdCrtyyVAu11tYeWY5kF6u9f6,101,45,37437.20,139
49,BKcCjjQayhnhxq65FcYFNHGNke71Zu24wHmXQw2WeVda,293,49,37312.50,444
50,D3JY3AvpXDVcMjAdFUSXsCKx8rbnVo1Vi42MoKPCuBHC,217,82,37033.05,95
